willing_for_participation,,,role_in_conference,result_after_hearing_Education_Keynote,panel_attended,pannel_attended_all_apply,"Please explain more, if you choose ""None of the above"" for the previous question.",knowledge_increase,"desire_for_collaboration 
",Grant_Application_Intent,Volunteering _in_community,involving_panelists_ community,Well_representation_of_Diverse panelists,Well_representation_of_Multiple_service_models,committed_to_being_engaged_in_community,Learnings_from_LUD,Inspired_for_being_more_socially_committed_responsible,experience_with_networking_with_other_LUD_participants_or_speakers,conference_improovement,comments_or_suggestions
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Neutral,Agree,I am more committed to being engaged and actively participate in community service work.,"Yes it has, as it has made me quite aware on how we can improve our community. ",The speakers were well educated on the topic and explained the topic in detail which was very informative and a fun topic to learn.,No,No
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,To motivate ,Yes,It was good,More interactive ,No
"Yes, I am happy to participate in this survey",,,PhD scholar,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,More informative on the education system,Yes. ,Good,Was a well Friendly Talk,No. 
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"The first thing I was inspired by the speaker's strong convo about the topic ,it was very fascinating to be present there I learnt a lot about it... 
It made me more conscious about the concepts in today's world . 
Learned different perspectives about education , disseminating ways of education today. 
",Definitely.I was inspired by the panelists to get involved in my community,It was amazing ,-,No
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,About sustainable development ,Yes,Nice,Nothing much ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Strongly agree,"About education, how to innovate the learning techniques and focus on the priorities. ","Yes, it made me realize how a person should be socially committed by contributing to the society in every possible way especially for the mental health. ",I felt socially connected and found people having the same thoughts as me. ,It was overall great I can't think of any improvement. ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,I learnt how to innovate the learninG skills and avoid procrastination ,Yes,I socially connected with people and found common thoughts,Nothing ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly agree,.,Yes I've gained awareness to work for the betterment,Informative ,. ,.
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,"It's not just the education policies to be blamed but various  modalities and their different perspective of different speakers
I was inspired by the controversial talks 
And ways of dissemination of education
The social principles to be cultivated in today's era and much more 
It was truly a great event learnt a whole lot of things ","Yes , definitely..
After the conference it made me more enthusiastic and felt like I needed more of involvement and much of community service outreach. 
Altogether it was a very amazing conference and it was just fabulous to be a part and most importantly very... inspiring. ","The way the put forward their different perspective was just amazing.
It lead me to ponder over the experience they had...

Truly inspiring ",.,.
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,It inspired me to help the community and helped form new perspectives ,Yes,Good,Nothing,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,None(attended as a performer only),Yes,Good.,Good conference ,No
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,"Many takeaways were taken , especially from the conference ",Yes it definitely has. I would love to take part and actively participate in future conferences and discussions ,"It helped me gain a lot of insight about various topics, and interacting with a new person, helped Improve my confidence and learn something new and get to know another person. ","The conference was very well conducted, a little bit more facilities for the student volunteers would be helpful",That's all
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,..,Yes it did!,It was amazing ,Nothing much was there to be improved. Everything was perfect!,..
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,The key takeaways were the importance of education in helping my community to bring a smile in their face and improve its condition. ,"Yes totally agree, it gave me more confidence and left me with a strong mindset to be committed to community service ","It was totally good, meeting new people from all over the world introduced me to their culture values and their dedication towards serving the community ",May be include more student- interaction panels,Nope
